,Tweets,Name,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
0,"It wasn't until Henry VIII's reign that the #TowerOfLondon became really notorious as a place of imprisonment, tort… https://t.co/Lkoj4s5XH1",BBC,Tue Apr 10 18:42:00 +0000 2018,-0.4927,0.0,0.158,0.842,1
1,Meet Rebekah - a former professional footballer who changed career and became a prison officer. https://t.co/D5H4aLBVln,BBC,Tue Apr 10 18:00:27 +0000 2018,-0.5106,0.0,0.216,0.784,2
2,🌶🤯 A man who ate the world's hottest chilli pepper in a chilli-eating contest ended up in hospital after experienci… https://t.co/aiRSOhb4eI,BBC,Tue Apr 10 16:58:05 +0000 2018,0.0,0.0,0.0,1.0,3
3,"RT @bbccomedy: Henry of Eight, the Tudor Kim Kardashian. #CunkOnBritain @MissDianeMorgan https://t.co/VuQyfSFyRM",BBC,Tue Apr 10 16:34:54 +0000 2018,0.0,0.0,0.0,1.0,4
4,"👭 Ten celebrity pairs who look so freakily alike they could be twins. #NationalSiblingsDay
👉 https://t.co/WAUVA2c8e4 https://t.co/wTkpghO1uv",BBC,Tue Apr 10 16:32:08 +0000 2018,0.0,0.0,0.0,1.0,5
5,"😱 That's quite the party trick! 
#Doodlebugs https://t.co/IUz7r0qJcf",BBC,Tue Apr 10 16:02:03 +0000 2018,0.4227,0.336,0.15,0.514,6
6,"RT @TWBBC: ""Our liberty is at risk when we hand over our data"" @thermoflynamics and @FinalBullet ask if we need to take control of our data…",BBC,Tue Apr 10 15:47:43 +0000 2018,0.6705,0.208,0.066,0.726,7
7,"RT @BBCNWT: Have you ever spotted a @RealMancsy around Manchester? 🤔

These free prints pop up around the city, thanks to the anonymous art…",BBC,Tue Apr 10 15:28:35 +0000 2018,0.7351,0.237,0.0,0.763,8
8,"RT @BBCR1: Do YOU look like this lady with a tablecloth on her head?

We need your help to recreate a painting from the 1800s 🎨👊

Kindly em…",BBC,Tue Apr 10 15:25:18 +0000 2018,0.8126,0.268,0.0,0.732,9
9,RT @BBCTwo: Two tiger brothers enjoy their first swimming lesson. 🐯💦 #NationalSiblingsDay https://t.co/qiyB4N5EYr,BBC,Tue Apr 10 15:18:36 +0000 2018,0.4939,0.211,0.0,0.789,10
10,"RT @AboutTheBBC: Today @englishheritage unveiled a blue plaque to former BBC Director-General Sir Hugh Carleton Greene. A great moderniser,…",BBC,Tue Apr 10 14:34:14 +0000 2018,0.6249,0.204,0.0,0.796,11
11,"🖼🎨 From Velázquez to van Gogh, explore 5 masterpieces of European painting. 
👉 https://t.co/wRpdRNUuz5 https://t.co/EVrV6Iat8H",BBC,Tue Apr 10 13:00:36 +0000 2018,0.5423,0.226,0.0,0.774,12
