,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
0,"Today's biggest artists including @littlebigtown, @edsheeran &amp; @MarenMorris share what an honor it is to pay their… https://t.co/1Ebr8feo0R",CBS,Tue Apr 10 19:00:03 +0000 2018,0.6124,0.248,0.064,0.688,1
1,"The legendary @eltonofficial said ""It's the most wonderful feeling when someone records your song or sings your son… https://t.co/Krlqs3qNck",CBS,Tue Apr 10 15:30:00 +0000 2018,0.6976,0.253,0.0,0.747,2
2,"Are you ready for a good time? Tomorrow, Elton John: I’m Still Standing - A GRAMMY®￼ Salute airs at 9/8c on CBS and… https://t.co/Z3Mnp1cJPa",CBS,Mon Apr 09 20:00:00 +0000 2018,0.6597,0.221,0.0,0.779,3
3,"@edsheeran, @KeshaRose, @HaileeSteinfeld, @ActuallyNPH, and many more describe the impact that the music of Elton J… https://t.co/wBwzWcWGAa",CBS,Mon Apr 09 17:29:47 +0000 2018,0.0,0.0,0.0,1.0,4
4,"Lights will come on for @Jason_Aldean when he takes the stage to perform at the 53rd #ACMawards on Sunday, April 15… https://t.co/qPAbrFp4kQ",CBS,Mon Apr 09 17:00:02 +0000 2018,0.0,0.0,0.0,1.0,5
5,Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu,CBS,Mon Apr 09 15:00:00 +0000 2018,0.2732,0.129,0.086,0.784,6
6,This just in! Thirteen-time ACM Award® winner @carrieunderwood will be performing her soon-to-be-released single li… https://t.co/GEyjt4lFbb,CBS,Mon Apr 09 13:36:00 +0000 2018,0.6239,0.214,0.0,0.786,7
7,It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq,CBS,Mon Apr 09 01:42:06 +0000 2018,0.6467,0.28,0.0,0.72,8
8,@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven d… https://t.co/SFnXxQLoPN,CBS,Sun Apr 08 22:00:01 +0000 2018,0.7096,0.258,0.0,0.742,9
9,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access… https://t.co/mNFSAUkLvZ,CBS,Sun Apr 08 18:38:13 +0000 2018,0.5562,0.146,0.0,0.854,10
10,"@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in A… https://t.co/TmjezmqPme",CBS,Sun Apr 08 15:00:00 +0000 2018,0.4199,0.108,0.0,0.892,11
11,Watch some of the biggest names in golf compete in one of the greatest tournaments of the year! Stream #TheMasters… https://t.co/e8kbkSLx5k,CBS,Sat Apr 07 19:35:08 +0000 2018,0.6696,0.183,0.0,0.817,12
12,Tonight's the night! Here's a behind-the-scenes look at season 2 of @RansomCBS before the big premiere. Tune in at… https://t.co/WtRHvufO7H,CBS,Sat Apr 07 18:28:03 +0000 2018,0.0,0.0,0.0,1.0,13
