,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
0,A lawsuit against Harvard on behalf of Asian-American students moved a step further as a US district judge proposed… https://t.co/orkd3Wi3zB,CNN,Tue Apr 10 21:36:43 +0000 2018,-0.2263,0.0,0.106,0.894,1
1,America made a promise in 1968. It's time to keep it. | By Heather K. Way via @CNNOpinion https://t.co/Bv3jvsilaj https://t.co/7EpdiAlOue,CNN,Tue Apr 10 21:29:19 +0000 2018,0.3182,0.119,0.0,0.881,2
2,"As US President Donald Trump promised to respond ""forcefully"" to a suspected chemical attack in Syria within ""24 or… https://t.co/k7xe2PkdeQ",CNN,Tue Apr 10 21:25:25 +0000 2018,-0.3612,0.106,0.213,0.681,3
3,Chinese investment in the United States plummeted in 2017. And that was before a trade fight erupted between the tw… https://t.co/ewYiDY4m8Y,CNN,Tue Apr 10 21:21:20 +0000 2018,0.0516,0.12,0.111,0.769,4
4,A federal court has ruled that employers cannot use salary history to justify paying women less than men for the sa… https://t.co/NgZNXO4H4j,CNN,Tue Apr 10 21:18:49 +0000 2018,0.0,0.0,0.0,1.0,5
5,Sen. Cruz grilled Zuckerberg over whether Facebook has political bias. Zuckerberg said Facebook's goal is not to en… https://t.co/DUe6OsZeYn,CNN,Tue Apr 10 21:12:22 +0000 2018,-0.1027,0.0,0.072,0.928,6
6,"Sen. Durbin presses Zuckerberg on privacy issues, asking: ""Would you be comfortable sharing with us the name of the… https://t.co/sesLkVzO6n",CNN,Tue Apr 10 21:04:26 +0000 2018,0.7269,0.253,0.0,0.747,7
7,"EMILY's List President Stephanie Schriock says there is an ""avalanche"" of women running for office, and it's nothin… https://t.co/htAXuIBE2P",CNN,Tue Apr 10 20:58:00 +0000 2018,0.0,0.0,0.0,1.0,8
8,"The ""Roseanne"" reboot is ugly, uncomfortable and distressing. Good. | By Richard Morgan via @CNNOpinion… https://t.co/AdU4y0eptm",CNN,Tue Apr 10 20:49:08 +0000 2018,-0.6908,0.129,0.382,0.489,9
9,"After questioning Mark Zuckerberg, Senator Graham told reporters that he thought the Facebook CEO was “like Jell-O”… https://t.co/T9F061mH2H",CNN,Tue Apr 10 20:47:12 +0000 2018,-0.1027,0.0,0.076,0.924,10
10,The White House just let slip a big secret about the possibility of firing Robert Mueller | Analysis by… https://t.co/L4h4LPvDD1,CNN,Tue Apr 10 20:43:28 +0000 2018,-0.34,0.0,0.124,0.876,11
11,The right's insane sliming of David Hogg | By Jill Filipovic via @CNNOpinion https://t.co/KZovIX0L6I https://t.co/vENpv089UK,CNN,Tue Apr 10 20:39:38 +0000 2018,-0.4019,0.0,0.172,0.828,12
12,"After a brief recess, Facebook CEO Mark Zuckerberg continues to testify before Congress https://t.co/310VEWUDqZ
Wat… https://t.co/cJsFXrbtag",CNN,Tue Apr 10 20:37:20 +0000 2018,0.0,0.0,0.0,1.0,13
13,"A 12-year-old video showing a sheriff discussing the cost of inmate and suspect deaths, versus keeping them alive,… https://t.co/npWvBbq84O",CNN,Tue Apr 10 20:37:02 +0000 2018,-0.296,0.0,0.121,0.879,14
14,A woman died after being given formaldehyde instead of saline https://t.co/IfR9k8BL2u https://t.co/Nh1RBQ7dt2,CNN,Tue Apr 10 20:33:17 +0000 2018,-0.5574,0.0,0.265,0.735,15
15,"""We've seen the apology tours before."" Sen. Richard Blumenthal has staffers stand behind him and hold up a sign tha… https://t.co/m9otTfXHfP",CNN,Tue Apr 10 20:32:04 +0000 2018,0.0516,0.059,0.0,0.941,16
16,"Facebook stock finished the day with a 4.5% gain, a seeming sign of confidence in Zuckerberg from Wall Street… https://t.co/UWFv4R8CKY",CNN,Tue Apr 10 20:25:37 +0000 2018,0.7717,0.295,0.0,0.705,17
17,Why the Parkland crisis continues to resonate | By John Heubusch via @CNNOpinion https://t.co/cWRcjWafzA https://t.co/CDvWuqmcZ0,CNN,Tue Apr 10 20:20:51 +0000 2018,-0.6249,0.0,0.24,0.76,18
18,Zuckerberg says he's totally behind this piece of legislation that would disclose political ads… https://t.co/O1dmbGVk4l,CNN,Tue Apr 10 20:19:05 +0000 2018,0.0,0.0,0.0,1.0,19
19,"Just four days after a bus crash killed 15 people, including 10 young hockey players, a GoFundMe to help the victim… https://t.co/U3BEKhnjSN",CNN,Tue Apr 10 20:15:09 +0000 2018,-0.6705,0.1,0.268,0.632,20
20,A lawsuit against Harvard on behalf of Asian-American students moved a step further as a US district judge proposed… https://t.co/orkd3Wi3zB,CNN,Tue Apr 10 21:36:43 +0000 2018,-0.2263,0.0,0.106,0.894,21
21,America made a promise in 1968. It's time to keep it. | By Heather K. Way via @CNNOpinion https://t.co/Bv3jvsilaj https://t.co/7EpdiAlOue,CNN,Tue Apr 10 21:29:19 +0000 2018,0.3182,0.119,0.0,0.881,22
22,"As US President Donald Trump promised to respond ""forcefully"" to a suspected chemical attack in Syria within ""24 or… https://t.co/k7xe2PkdeQ",CNN,Tue Apr 10 21:25:25 +0000 2018,-0.3612,0.106,0.213,0.681,23
23,Chinese investment in the United States plummeted in 2017. And that was before a trade fight erupted between the tw… https://t.co/ewYiDY4m8Y,CNN,Tue Apr 10 21:21:20 +0000 2018,0.0516,0.12,0.111,0.769,24
24,A federal court has ruled that employers cannot use salary history to justify paying women less than men for the sa… https://t.co/NgZNXO4H4j,CNN,Tue Apr 10 21:18:49 +0000 2018,0.0,0.0,0.0,1.0,25
25,Sen. Cruz grilled Zuckerberg over whether Facebook has political bias. Zuckerberg said Facebook's goal is not to en… https://t.co/DUe6OsZeYn,CNN,Tue Apr 10 21:12:22 +0000 2018,-0.1027,0.0,0.072,0.928,26
26,"Sen. Durbin presses Zuckerberg on privacy issues, asking: ""Would you be comfortable sharing with us the name of the… https://t.co/sesLkVzO6n",CNN,Tue Apr 10 21:04:26 +0000 2018,0.7269,0.253,0.0,0.747,27
27,"EMILY's List President Stephanie Schriock says there is an ""avalanche"" of women running for office, and it's nothin… https://t.co/htAXuIBE2P",CNN,Tue Apr 10 20:58:00 +0000 2018,0.0,0.0,0.0,1.0,28
28,"The ""Roseanne"" reboot is ugly, uncomfortable and distressing. Good. | By Richard Morgan via @CNNOpinion… https://t.co/AdU4y0eptm",CNN,Tue Apr 10 20:49:08 +0000 2018,-0.6908,0.129,0.382,0.489,29
29,"After questioning Mark Zuckerberg, Senator Graham told reporters that he thought the Facebook CEO was “like Jell-O”… https://t.co/T9F061mH2H",CNN,Tue Apr 10 20:47:12 +0000 2018,-0.1027,0.0,0.076,0.924,30
