,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
0,".@BenSasse: “As a dad, do you worry about social media addiction as a problem for America’s teens?” https://t.co/RzeOnYs98D",Fox News,Tue Apr 10 21:37:55 +0000 2018,-0.6808,0.0,0.286,0.714,1
1,.@BenSasse: “I wouldn’t want you to leave here today and think there’s sort of a unified view in the Congress that… https://t.co/q8sYd9WaRR,Fox News,Tue Apr 10 21:28:49 +0000 2018,0.3415,0.158,0.053,0.789,2
2,".@ChrisCoons: “At the end of the day, policies aren’t worth the paper they’re written on if Facebook doesn’t enforc… https://t.co/Hci3TzFAeE",Fox News,Tue Apr 10 21:24:25 +0000 2018,0.2263,0.091,0.0,0.909,3
3,".@SenMikeLee: “Isn’t there a significant free market incentive that a social media company, including yours, has in… https://t.co/gNJsC453ib",Fox News,Tue Apr 10 21:08:54 +0000 2018,0.765,0.369,0.0,0.631,4
4,"Mark Zuckerberg: “What we’re going to do is require a valid government identity, and we’re going to verify the loca… https://t.co/VuySdsks78",Fox News,Tue Apr 10 21:01:39 +0000 2018,0.0,0.0,0.0,1.0,5
5,Mark #Zuckerberg: “I am very committed to making sure that Facebook is a platform for all ideas. That is a very imp… https://t.co/iVpDo7kiIj,Fox News,Tue Apr 10 20:53:20 +0000 2018,0.5709,0.198,0.0,0.802,6
6,.@SenTedCruz: “There are a great many Americans who I think are deeply concerned that Facebook and other tech compa… https://t.co/TCzT77K4de,Fox News,Tue Apr 10 20:49:18 +0000 2018,0.6249,0.194,0.0,0.806,7
7,".@SenTedCruz: “Does Facebook consider itself a neutral public forum?”

Mark #Zuckerberg: “Senator, we consider ours… https://t.co/B1lRtloF9O",Fox News,Tue Apr 10 20:40:42 +0000 2018,0.0,0.0,0.0,1.0,8
8,".@JohnCornyn: ""If I choose to terminate my Facebook account, can I bar Facebook or any third parties from using the… https://t.co/SQQ1T5j1a7",Fox News,Tue Apr 10 20:33:58 +0000 2018,0.4019,0.13,0.0,0.87,9
9,".@Facebook CEO Mark Zuckerberg testifies before Congress in the wake of a data privacy scandal. 

Live blog:… https://t.co/xNe5pu66re",Fox News,Tue Apr 10 20:33:53 +0000 2018,-0.4404,0.0,0.153,0.847,10
10,"""No""

Mark #Zuckerberg responds to @SenatorDurbin's questions on if he would feel comfortable sharing with the comm… https://t.co/0APyWC8mQZ",Fox News,Tue Apr 10 20:15:56 +0000 2018,0.7269,0.276,0.0,0.724,11
11,"Mark #Zuckerberg on Facebook’s terms of service: We can always do better, and the services are complex…I think for… https://t.co/4hXP6HGVYj",Fox News,Tue Apr 10 20:08:20 +0000 2018,0.4404,0.132,0.0,0.868,12
12,"Mark #Zuckerberg: “My position is not that there should be no regulation…I think the real question, as the internet… https://t.co/pUyQ1FpmGf",Fox News,Tue Apr 10 19:59:44 +0000 2018,-0.296,0.0,0.104,0.896,13
13,"RT @FoxBusiness: .@LindseyGrahamSC: ""You don't think you have a monopoly?""

Zuckerberg: ""It certainly doesn't feel like that to me."" https:…",Fox News,Tue Apr 10 19:56:49 +0000 2018,0.0747,0.112,0.098,0.79,14
14,"""I know we're working with [the special counsel].""

Mark #Zuckerberg confirms @facebook has been working with speci… https://t.co/KfuyW7jsiv",Fox News,Tue Apr 10 19:48:55 +0000 2018,0.4019,0.137,0.0,0.863,15
15,Mark #Zuckerberg: “I think everyone in the world deserves good privacy protection.” https://t.co/Il5feaxDRW https://t.co/ILgTZtpBf2,Fox News,Tue Apr 10 19:46:34 +0000 2018,0.4404,0.182,0.0,0.818,16
16,Mark Zuckerberg: “There will always be a version of Facebook that is free.” https://t.co/OHxw1bMM93,Fox News,Tue Apr 10 19:40:41 +0000 2018,0.0,0.0,0.0,1.0,17
17,"Mark Zuckerberg: “After the 2016 election, our top priority was protecting the integrity of other elections around… https://t.co/livEyBm3x2",Fox News,Tue Apr 10 19:35:31 +0000 2018,0.5267,0.216,0.0,0.784,18
18,Mark Zuckerberg: “One of my greatest regrets in running the company is that we were slow in identifying the Russian… https://t.co/xIjGH1kPIW,Fox News,Tue Apr 10 19:33:19 +0000 2018,0.4019,0.163,0.097,0.739,19
19,Mark Zuckerberg: “It’s not enough to just build tools. We need to make sure that they’re used for good.”… https://t.co/eQm3XUQrDr,Fox News,Tue Apr 10 19:26:31 +0000 2018,0.3182,0.108,0.0,0.892,20
20,".@BenSasse: “As a dad, do you worry about social media addiction as a problem for America’s teens?” https://t.co/RzeOnYs98D",Fox News,Tue Apr 10 21:37:55 +0000 2018,-0.6808,0.0,0.286,0.714,21
21,.@BenSasse: “I wouldn’t want you to leave here today and think there’s sort of a unified view in the Congress that… https://t.co/q8sYd9WaRR,Fox News,Tue Apr 10 21:28:49 +0000 2018,0.3415,0.158,0.053,0.789,22
22,".@ChrisCoons: “At the end of the day, policies aren’t worth the paper they’re written on if Facebook doesn’t enforc… https://t.co/Hci3TzFAeE",Fox News,Tue Apr 10 21:24:25 +0000 2018,0.2263,0.091,0.0,0.909,23
23,".@SenMikeLee: “Isn’t there a significant free market incentive that a social media company, including yours, has in… https://t.co/gNJsC453ib",Fox News,Tue Apr 10 21:08:54 +0000 2018,0.765,0.369,0.0,0.631,24
