,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
0,"The Metropolitan Museum of Art has reached beyond its doors for a director for the first time in 60 years, choosing… https://t.co/Ga6tZczRk5",The New York Times,Tue Apr 10 21:32:04 +0000 2018,0.1027,0.065,0.0,0.688,1
1,RT @kevinroose: Senator Coons asks a good q: why does Facebook shift the burden of reporting bad/hateful/discriminatory content to users?…,The New York Times,Tue Apr 10 21:17:04 +0000 2018,0.0,0.127,0.127,0.747,2
2,"If you’re concerned about ""Westworld"" spoilers, don’t be. There don’t appear to be any. https://t.co/vs7iCSTUQy",The New York Times,Tue Apr 10 21:08:06 +0000 2018,0.0,0.0,0.0,0.779,3
3,"“No. I would probably not choose to do that publicly here,” Zuckerberg said when Senator Richard Durbin asked if he… https://t.co/RD48wALpzV",The New York Times,Tue Apr 10 20:53:50 +0000 2018,0.0,0.0,0.0,1.0,4
4,Overwhelmed by the number of Netflix original shows? Let @Watching guide you. https://t.co/s9x6gV2ipj,The New York Times,Tue Apr 10 20:50:09 +0000 2018,0.4215,0.324,0.0,1.0,5
5,"RT @nytimesarts: T.J. Miller, the comedian and former ""Silicon Valley"" star, was charged with calling in a false report of a bomb threat fr…",The New York Times,Tue Apr 10 20:40:04 +0000 2018,-0.7003,0.09,0.29,0.784,6
6,Wired Magazine recently noted that Zuckerberg has a 14-year history of apologizing. That seems to have caused some… https://t.co/2wWLKv9HjE,The New York Times,Tue Apr 10 20:19:44 +0000 2018,-0.0772,0.0,0.071,0.786,7
7,"RT @NYTNational: Toll of mass incarceration: States send inmates to private prisons, where profit is often the main motive https://t.co/3nm…",The New York Times,Tue Apr 10 20:17:07 +0000 2018,0.4404,0.132,0.0,0.72,8
8,"Cheerleaders for pro sports teams say they’re expected to endure groping and harassment by fans. “It is common, and… https://t.co/QDQ9mMftUz",The New York Times,Tue Apr 10 20:10:07 +0000 2018,-0.3182,0.093,0.148,0.742,9
9,"Here are some of Zuckerberg’s claims, which we fact checked. The page will be updated throughout the hearings:… https://t.co/Ua5awGFTKn",The New York Times,Tue Apr 10 20:03:41 +0000 2018,0.0,0.0,0.0,0.854,10
10,"Bill Cosby's lawyers began a combative defense at his sexual assault retrial, portraying the entertainer as the lon… https://t.co/hTZmv1LTcb",The New York Times,Tue Apr 10 19:55:03 +0000 2018,-0.1779,0.179,0.166,0.892,11
